CdEntiteHydrographique;NomEntiteHydrographique
A32-0200;La Zinsel du Nord
A32-0210;Ruisseau le Falkensteinbach
A32-0210;Ruisseau le Falkensteinbach
A3220420;Ruisseau de Waldeck
A3220420;Ruisseau de Waldeck
A32-0210;Ruisseau le Falkensteinbach
A3220750;Ruisseau de l'Etang de Lieschbach
A32-0210;Ruisseau le Falkensteinbach
A32-0210;Ruisseau le Falkensteinbach
A32-0210;Ruisseau le Falkensteinbach
A3230470;Ruisseau le Rothenbach
A3230480;Ruisseau Moosbach
A3230470;Ruisseau le Rothenbach
A3230300;Ruisseau Schnepfenbach
A3230310;Ruisseau le Schafweiherbach
A3230470;Ruisseau le Rothenbach
A3230640;Ruisseau le Neudoerforbach
A3230640;Ruisseau le Neudoerforbach
A32-0220;Ruisseau le Schwarzbach
A3250390;Ruisseau la Lauterbach
A32-0220;Ruisseau le Schwarzbach
A32-0220;Ruisseau le Schwarzbach
A32-0220;Ruisseau le Schwarzbach
A32-0220;Ruisseau le Schwarzbach
A32-0210;Ruisseau le Falkensteinbach
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A32-0200;La Zinsel du Nord
A3--0100;La Moder
A3300310;Ruisseau le Lomdgraben
A3300310;Ruisseau le Lomdgraben
A3--0100;La Moder
A3310530;Ruisseau le Rothbach
A3310580;Ruisseau du Chateau Walk
A3310550;Ruisseau l'Eschbach
A3310530;Ruisseau le Rothbach
A3310530;Ruisseau le Rothbach
A3320540;Ruisseau le Kesselgraben
A3320860;Ruisseau la Vieille Zorn
A3--0100;La Moder
A3320320;Ruisseau le Waschgraben
A3--0100;La Moder
A3320540;Ruisseau le Kesselgraben
A34-0200;La Zorn
A3400390;La Zorn Blanche
A34-0200;La Zorn
A34-0200;La Zorn
A34-0200;La Zorn
A34-0200;La Zorn
A3410500;Ruisseau le Mundel
A3410520;Ruisseau le Baerenbach
A34-0200;La Zorn
A3410770;Ruisseau de la Fontaine Melanie
A3410770;Ruisseau de la Fontaine Melanie
A3420350;Ruisseau le Michelbach
A3420350;Ruisseau le Michelbach
A3420402;Zornhof Derivation
A3430510;Ruisseau le Rehbach
A34-0210;La Zinsel du Sud
A3430600;Ruisseau le Niederbachel
A3430600;Ruisseau le Niederbachel
A34-0210;La Zinsel du Sud
A3430760;Ruisseau le Haspel
A3430760;Ruisseau le Haspel
A3430840;Ruisseau le Fallbaechel
A3430840;Ruisseau le Fallbaechel
A3430930;Ruisseau le Fischbach
A34-0210;La Zinsel du Sud
A3440640;Ruisseau le Griesbaechel
A34-0210;La Zinsel du Sud
;
A34-0210;La Zinsel du Sud
A34-0200;La Zorn
A3450400;La Mossel
A3450400;La Mossel
A3450600;Ruisseau le Kuhbach
A3450600;Ruisseau le Kuhbach
A3450400;La Mossel
A34-0200;La Zorn
A3460490;Ruisseau le Lienbach
A3460600;Ruisseau le Littenheim
A34-0200;La Zorn
A3470380;Ruisseau le Rohrbach
A3470380;Ruisseau le Rohrbach
A3470380;Ruisseau le Rohrbach
A3470800;Ruisseau le Bachgraben
----0092;Canal de la Marne au Rhin
A3480500;Ruisseau le Gebolsheimerbach
A3480340;Ruisseau le Minversheimerbach
A3480340;Ruisseau le Minversheimerbach
A34-0200;La Zorn
A3480720;Ruisseau le Rissbach
A3480820;Ruisseau le Saltenbach
A34-0200;La Zorn
A34-0200;La Zorn
A3520432;Canal de Derivation de la Zorn
A34-0200;La Zorn
A3510930;Ruisseau le Riedgraben
A35-0200;Ruisseau le Landgraben
